date,url_list,Webste,Title,Sapo,Content
14/11/2023,https://24hmoney.vn/news/hoa-chat-quy-3-ong-lon-giam-sau-c1a2098779.html,24hmoney.vn,news-content-block news-text-0 news-text-left,news-content-block news-text-0 news-text-left,news-content
14/11/2023,https://baolaocai.vn/gia-phan-bon-giam-sau-nong-dan-phan-khoi-doanh-nghiep-kho-khan-post375902.html,baolaocai.vn,article__title cms-title ,article__sapo cms-desc,article__body zce-content-body cms-body 
24/11/2023,https://baomoi.com/ket-qua-kinh-doanh-quy-4-2023-cua-dpm-se-phuc-hoi-ky-vong-2024-cai-thien-c47612356.epi,baomoi.com,bm_O,bm_AB bm_O,bm_RA
15/11/2023,https://baomoi.com/dien-dan-kinh-te-thue-phan-bon-va-nhung-du-bao-c47529359.epi,baomoi.com,bm_O,bm_AB bm_O,bm_RA
10/11/2023,https://baomoi.com/ngay-van-hoa-doanh-nghiep-viet-nam-10-11-van-hoa-dau-khi-truyen-cam-hung-cho-nhieu-the-he-c47482283.epi,baomoi.com,bm_O,bm_AB bm_O,bm_RA
02/11/2023,https://baomoi.com/gia-nong-san-tang-cao-gia-phan-bon-tro-ve-bi,baomoi.com,bm_O,bm_AB bm_O,bm_RA
31/10/2023,https://baomoi.com/doanh-thu-va-loi-nhuan-nganh-phan-bon-da-tro-ve-trang-thai-binh-thuong-c47387793.epi,baomoi.com,bm_O,bm_AB bm_O,bm_RA
15/11/2023,https://baophapluat.vn/lan-song-chuyen-dich-nang-luong-trong-nganh-dau-khi-post495324.html,baophapluat.vn,article__title cms-title ,article__sapo cms-desc,article__body cms-body 
01/11/2023,https://baophapluat.vn/dam-phu-my-thay-doi-nhan-su-cap-cao-post493814.html,baophapluat.vn,article__title cms-title ,article__sapo cms-desc,article__body cms-body 
16/11/2023,https://baotainguyenmoitruong.vn/can-trong-voi-tin-tuyen-dung-lua-dao-gia-mao-thuong-hieu-dau-khi-365793.html,baotainguyenmoitruong.vn,sc-longform-header-title block-sc-title,sc-longform-header-sapo block-sc-sapo,entry entry-no-padding
14/11/2023,https://baotainguyenmoitruong.vn/canh-bao-fanpage-gia-mao-danh-nghia-pvfcco-dang-thong-tin-tuyen-dung-lua-dao-365721.html,baotainguyenmoitruong.vn,sc-longform-header-title block-sc-title,sc-longform-header-sapo block-sc-sapo,entry entry-no-padding
10/11/2023,https://baotainguyenmoitruong.vn/petrovietnam-tai-tao-de-phat-trien-365572.html,baotainguyenmoitruong.vn,sc-longform-header-title block-sc-title,sc-longform-header-sapo block-sc-sapo,entry entry-no-padding
07/11/2023,https://baotainguyenmoitruong.vn/pvfcco-uu-tien-nguon-luc-kien-tao-gia-tri-trach-nhiem-se-chia-tan-tam-365453.html,baotainguyenmoitruong.vn,sc-longform-header-title block-sc-title,sc-longform-header-sapo block-sc-sapo,entry entry-no-padding
07/11/2023,https://baotainguyenmoitruong.vn/pvfcco-to-chuc-toa-dam-ve-chinh-tri-trong-nuoc-va-the-gioi-365443.html,baotainguyenmoitruong.vn,sc-longform-header-title block-sc-title,sc-longform-header-sapo block-sc-sapo,entry entry-no-padding
02/11/2023,https://bnews.vn/npk-phu-my-duoc-ton-vinh-thuong-hieu-vang-nong-nghiep-viet-nam-nam-2023/313754.html,bnews.vn,post-top-entry,post-summary,post-ct-entry
23/11/2023,https://cafef.vn/cac-nha-phat-trien-muon-rot-13-ty-usd-cho-giai-doan-2b-cua-mo-su-tu-trang-188231121091645974.chn,cafef.vn,title,sapo,detail-content afcbc-body
25/11/2023,https://cand.com.vn/Kinh-te/phu-my-garden-buoc-di-dau-tien-tren-con-duong-dai-i714866/,cand.com.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
16/11/2023,https://congthuong.vn/chuyen-kinh-doanh-npk-phu-my-tan-tam-voi-ruong-vuon-ba-con-nong-dan-285821.html,congthuong.vn,article-detail-title f5,article-detail-desc f2 fw lt clearfix,fw clearfix
28/11/2023,https://daibieunhandan.vn/doanh-nghiep1/dau-khi-dau-tau-cua-nen-kinh-te-viet-nam-i351833/,daibieunhandan.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
08/11/2023,https://daibieunhandan.vn/kinh-te-xa-hoi/cho-mua-boi-thu-nho-su-dung-phan-bon-hop-ly-i349258/,daibieunhandan.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
30/10/2023,https://daibieunhandan.vn/doanh-nghiep1/tong-cong-ty-phan-bon-va-hoa-chat-dau-khi-loi-nhuan-quy-iii-2023-dat-hon-68-ty-dong-i348000/,daibieunhandan.vn,box-title-detail entry-title,box-des-detail this-one,detail-content-body
25/11/2023,https://kinhtechungkhoan.vn/dpm-ky-vong-tang-truong-trong-giai-doan-vu-mua-dong-xuan-212436.html,kinhtechungkhoan.vn,detail-title,detail-sapo,__MB_MASTERCMS_EL item-content
27/10/2023,https://kinhtechungkhoan.vn/kqkd-quy-3-kem-sac-co-phieu-dpm-van-duoc-khuyen-nghi-kha-quan-207874.html&amp,kinhtechungkhoan.vn,detail-title,detail-sapo,__MB_MASTERCMS_EL item-content
09/11/2023,https://petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-ho-hien-anh-pvfcco-698917.html,petrotimes.vn,titleDtails __MB_MASTERCMS_EL clearfix,sapo __MB_MASTERCMS_EL clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
02/11/2023,https://petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-bo-anh-mot-ngay-o-nha-may-dam-phu-my-tac-gia-pham-van-tung-pvfcco-698131.html,petrotimes.vn,titleDtails __MB_MASTERCMS_EL clearfix,sapo __MB_MASTERCMS_EL clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
01/11/2023,https://petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-bo-anh-tuoi-tre-phan-bon-phu-my-mien-trung-luon-hanh-dong-voi-muc-tieu-hoan-thanh-tot-moi-nhiem-vu-vi-loi-ich-cua-ba-con-nong-dan-va-cong-dong-tac-gia-vo-van-duy-pvfcco-698022.html,petrotimes.vn,titleDtails __MB_MASTERCMS_EL clearfix,sapo __MB_MASTERCMS_EL clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
31/10/2023,https://petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-bo-anh-tui-rat-ung-cai-bung-tac-gia-thach-khanh-linh-pvfcco-697953.html,petrotimes.vn,titleDtails __MB_MASTERCMS_EL clearfix,sapo __MB_MASTERCMS_EL clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
28/11/2023,https://petrovietnam.petrotimes.vn/can-thong-nhat-doan-ket-chia-se-hop-tac-de-hoan-thanh-giac-mo-lon-cua-nganh-dau-khi-700418.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/11/2023,https://petrovietnam.petrotimes.vn/cong-doan-dau-khi-viet-nam-dong-hanh-cung-petrovietnam-thuc-hien-mong-uoc-cua-chu-tich-ho-chi-minh-700346.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/11/2023,https://petrovietnam.petrotimes.vn/dau-khi-dau-tau-cua-nen-kinh-te-viet-nam-700261.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
24/11/2023,https://petrovietnam.petrotimes.vn/hoi-dap-ve-van-hoa-petrovietnam-ung-dung-ai-dau-tien-trong-linh-vuc-van-hoa-doanh-nghiep-700173.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
23/11/2023,https://petrovietnam.petrotimes.vn/pvfcco-to-chuc-toa-dam-ve-phong-chong-toi-pham-su-dung-cong-nghe-cao-699937.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
16/11/2023,https://petrovietnam.petrotimes.vn/vinh-danh-4-doanh-nghiep-dau-khi-phat-trien-ben-vung-vi-cong-dong-699488.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
15/11/2023,https://petrovietnam.petrotimes.vn/fitch-du-doan-gia-dau-se-tang-len-120-usd-699288.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
15/11/2023,https://petrovietnam.petrotimes.vn/gia-xang-dau-hom-nay-1511-dau-tho-giam-nhe-699355.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
14/11/2023,https://petrovietnam.petrotimes.vn/can-trong-voi-tin-tuyen-dung-lua-dao-gia-mao-thuong-hieu-dau-khi-699305.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
10/11/2023,https://petrovietnam.petrotimes.vn/gia-xang-dau-hom-nay-1011-dau-tho-di-ngang-699024.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
09/11/2023,https://petrovietnam.petrotimes.vn/ky-2-chia-khoa-vang-cua-petrovietnam-698784.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
09/11/2023,https://petrovietnam.petrotimes.vn/petrovietnam-tai-tao-de-phat-trien-698945.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
08/11/2023,https://petrovietnam.petrotimes.vn/bai-hoc-ve-xay-dung-dang-o-petrovietnam-697364.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
08/11/2023,https://petrovietnam.petrotimes.vn/ky-1-cong-tac-to-chuc-can-bo-linh-hoat-hieu-qua-698686.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
07/11/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-nguyen-quang-hai-pvfcco-697857.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
30/10/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-nguyen-quang-hai-pvfcco-697857.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
30/10/2023,https://petrovietnam.petrotimes.vn/tac-pham-du-thi-petrovietnam-trong-toi-cac-anh-don-cua-tac-gia-hoang-linh-pvfcco-697836.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
27/10/2023,https://petrovietnam.petrotimes.vn/lanh-dao-evn-va-petrovietnam-trao-doi-ve-cong-tac-cung-cap-khi-cho-san-xuat-dien-nam-2024-697627.html,petrovietnam.petrotimes.vn,titleDtails clearfix,sapo clearfix,boxTextDtails __MASTERCMS_CONTENT __MB_CONTENT_FOR_PRINTER
28/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2811-lang-song-tai-khu-vuc-mien-trung-va-tay-nam-bo-20231127118499.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
25/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-2511-phan-dap-hong-ha-dinh-vu-tiep-tuc-di-ngang-20231124104150975.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
15/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-1511-gia-thap-nhat-tai-mien-bac-la-270000-dongbao-202311149567963.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
10/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-1011-tiep-tuc-on-dinh-thap-nhat-260000-dongbao-2023119114845677.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
10/11/2023,https://vietnambiz.vn/gia-phan-bon.html,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
08/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-811-phan-ure-ca-mau-phu-my-giam-den-20000-dongbao-202311795226917.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
01/11/2023,https://vietnambiz.vn/gia-phan-bon-hom-nay-111-phan-npk-va-kali-tiep-tuc-di-ngang-20231031105126587.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
27/10/2023,https://vietnambiz.vn/dam-phu-my-lai-rong-64-ty-quy-iii-thap-nhat-16-quy-2023102714193584.htm,vietnambiz.vn,vnbcb-title,vnbcbc-sapo,vnbcbc-body vceditor-content 
28/11/2023,https://vietnamnet.vn/chuyen-dich-nang-luong-hanh-trinh-tat-yeu-gan-voi-cong-nghe-luu-tru-2190964.html,vietnamnet.vn,content-detail-title,content-detail-sapo sm-sapo-mb-0,maincontent main-content
25/11/2023,https://www.anninhthudo.vn/chua-dieu-chinh-thue-suat-thue-xuat-khau-mat-hang-phan-bon-post558988.antd,www.anninhthudo.vn,article__title cms-title ,article__sapo cms-desc,article__body cms-body 
28/11/2023,https://www.qdnd.vn/kinh-te/tin-tuc/gia-xang-dau-hom-nay-28-11-giam-phien-thu-tu-lien-tiep-753274,www.qdnd.vn,post-title,post-summary,articleBody
27/11/2023,https://www.qdnd.vn/kinh-te/cac-van-de/petrovietnam-ve-dich-som-nhieu-chi-tieu-san-luong-va-tai-chinh-753085,www.qdnd.vn,post-title,post-summary,articleBody
28/11/2023,https://www.tinnhanhchungkhoan.vn/luc-cau-bat-day-tich-cuc-thi-truong-chung-khoan-dao-chieu-tang-trong-phien-chieu-2811-post334821.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
16/11/2023,https://www.tinnhanhchungkhoan.vn/co-phieu-can-quan-tam-ngay-1611-post333972.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
10/11/2023,https://www.tinnhanhchungkhoan.vn/chi-so-san-xuat-toan-nganh-cong-nghiep-iip-uoc-tang-55-post333595.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
09/11/2023,https://www.tinnhanhchungkhoan.vn/nganh-phan-bon-don-tin-hieu-kha-quan-post333234.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
27/10/2023,https://www.tinnhanhchungkhoan.vn/dpm-tiet-giam-chi-phi-ung-pho-voi-bao-gia-nguoc-chieu-loi-nhuan-quy-iii2023-ghi-nhan-hon-68-ty-dong-post332612.html,www.tinnhanhchungkhoan.vn,article__header cms-title,article__sapo cms-desc,article__body cms-body 
